College,City,State,Number of registered students,Unnamed: 4,Latitude,Longtitude,Longtitude2
Texas State University,San Marcos,Texas,1,,29.888411,-97.938351,-97.936161
The College Of New Jersey,Ewing Township,New Jersey,1,,40.268439,-74.777696,-74.77550600000001
The University Of Tennessee-Knoxville,Knoxville,Tennessee,1,,35.9544013,-83.9294564,-83.92726640000001
The University Of Tennessee-Martin,Martin,Tennessee,1,,36.343177,-88.8644538,-88.86226380000001
The University Of Texas At El Paso,El Paso,Texas,1,,31.7709368,-106.5046405,-106.5024505
The University Of Texas At Tyler,Tyler,Texas,1,,32.315745,-95.254231,-95.252041
Thomas Edison State University,Trenton,New Jersey,1,,40.2203297,-74.7684128,-74.7662228
Trine University,Angola,Indiana,1,,41.63133,-85.0134723,-85.0112823
Tufts University,Medford,Massachusetts,1,,42.4074843,-71.1190232,-71.1168332
Union County College,Cranford,New Jersey,1,,40.6660061,-74.3228022,-74.3206122
University Of Alabama At Birmingham,Birmingham,Alabama,1,,33.5019893,-86.8064433,-86.8042533
University Of Alabama In Huntsville,Huntsville,Alabama,1,,34.7251471,-86.639783,-86.637593
University Of Arkansas-Fort Smith,Fort Smith,Arkansas,1,,35.3826091,-94.3736471,-94.3714571
University Of Baltimore,Baltimore,Maryland,1,,39.3061109,-76.6164354,-76.6142454
University Of California-Davis,Davis,California,1,,38.5382322,-121.7617125,-121.7595225
University Of California-Irvine,Irvine,California,1,,33.6404952,-117.8442962,-117.8421062
University Of California-Santa Cruz,Santa Cruz,California,1,,36.9880503,-122.0582093,-122.0560193
University Of Central Missouri,Warrensburg,Missouri,1,,38.758081,-93.7383705,-93.7361805
University Of Connecticut,Storrs,Connecticut,1,,41.4318783,-72.8035784,-72.80138840000001
University Of Denver,Denver,Colorado,1,,39.6766174,-104.9618965,-104.9597065
University Of Hawaii-West Oahu,Kapolei,Hawaii,1,,21.355188,-158.056065,-158.05387499999998
University Of Houston,Houston,Texas,1,,29.7199489,-95.3422334,-95.3400434
University Of Houston-Downtown,Houston,Texas,1,,29.7662579,-95.3593594,-95.3571694
University Of Illinois At Urbana-Champaign,Champaign,Illinois,1,,40.1019523,-88.2271615,-88.2249715
University Of La Verne,La Verne,California,1,,34.1007589,-117.7729742,-117.7707842
University Of Massachusetts-Amherst,Amherst,Massachusetts,1,,42.3867598,-72.5300515,-72.5278615
University Of Massachusetts-Dartmouth,Dartmouth,Massachusetts,1,,41.62816,-71.0046292,-71.0024392
University Of Michigan-Ann Arbor,Ann Arbor,Michigan,1,,42.2780436,-83.7382241,-83.7360341
University Of Nebraska-Lincoln,Lincoln,Nebraska,1,,40.8201966,-96.7004763,-96.6982863
University Of North Carolina At Greensboro,Greensboro,North Carolina,1,,36.0689296,-79.8101975,-79.8080075
University Of North Carolina Wilmington,Wilmington,North Carolina,1,,34.223874,-77.8696036,-77.8674136
University Of Northern Iowa,Cedar Falls,Iowa,1,,42.5121517,-92.4646469,-92.4624569
University Of Phoenix-California,Costa Mesa,California,1,,34.0853753,-118.0880287,-118.0858387
University Of Richmond,Richmond,Virginia,1,,37.5751669,-77.5407146,-77.5385246
University Of San Diego,La Jolla,California,1,,32.7719191,-117.188213,-117.186023
University Of Southern Indiana,Evansville,Indiana,1,,37.9582437,-87.6746938,-87.6725038
University Of The Cumberlands,Williamsburg,Kentucky,1,,36.7371496,-84.1638243,-84.1616343
University Of Wyoming,Laramie,Wyoming,1,,41.3148754,-105.5665744,-105.5643844
Valencia College,Orlando,Florida,1,,28.5295554,-81.4252564,-81.4230664
Valley City State University,Valley City,North Dakota,1,,46.9184723,-98.0039752,-98.0017852
Villanova University,Villanova,Pennsylvania,1,,40.0378952,-75.3433315,-75.3411415
Virginia Western Community College,Roanoke,Virginia,1,,37.246308,-79.9737354,-79.9715454
Washington University In St Louis,St. Louis,Missouri,1,,38.6487895,-90.3107962,-90.3086062
Washtenaw Community College,Ann Arbor,Michigan,1,,42.2634903,-83.6655609,-83.6633709
Wayne Community College,Goldsboro,North Carolina,1,,42.3310501,-83.1861012,-83.1839112
Wayne County Community College District,Detroit,Michigan,1,,42.327322,-83.054443,-83.05225300000001
Wayne State College,Wayne,Nebraska,1,,42.2399046,-97.0131156,-97.01092560000001
West Texas A & M University,Canyon,Texas,1,,34.9816909,-101.9160329,-101.9138429
Western Nevada College,Carson City,Nevada,1,,39.1854572,-119.7901185,-119.7879285
Whatcom Community College,Bellingham,Washington,1,,48.7952623,-122.4938545,-122.4916645
Woodbury University,Burbank,California,1,,34.2076585,-118.3412543,-118.3390643
York Technical College,Rock Hill,South Carolina,1,,34.935098,-80.995289,-80.993099
