Name,Entry Fee,Location,Date,Availability
"Pumpkins, Pumpkins, Pumpkins, Fun to make! Make one with GAI@CCIC","
	$50
","
Glass Arts Indiana
1125 Brookside Ave C25 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sat, October 23, 2021
12:00 PM – 2:00 PM EDT

Add to calendar


",AVAILABLE
Fall Themed Paint Your Pet Workshop,"
	$45
","
Metazoa Brewing Company
140 South College Avenue 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sun, October 24, 2021
11:00 AM – 5:30 PM EDT

Add to calendar


",AVAILABLE
Hocus Pocus,"
	$20
","
Sun King Brewery
135 North College Avenue 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sun, October 24, 2021
11:30 AM – 2:00 PM EDT

Add to calendar


",AVAILABLE
VOLTCON 2021!,"
	$0 – $125
","
Indianapolis Marriott East
7202 East 21st Street 
Indianapolis, IN 46219 
United States 

View Map
View Map

","
Contact the organizer to request a refund.
Eventbrite's fee is nonrefundable.
",AVAILABLE
Murder Mystery Theatre  Matinee,"
	$15
","
Storefront Theatre of Indianapolis
717 Broad Ripple Avenue 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sun, October 24, 2021
1:30 PM – 3:00 PM EDT

Add to calendar


",AVAILABLE
Pogue's Run Fall Bike Ride,"
	Free
","
Fletcher Park
1429 E Brookside Ave 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sun, October 24, 2021
12:00 PM – 2:00 PM EDT

Add to calendar


",AVAILABLE
Deeva Ball,"
	$50
","
The Silver Centre Event Hall
10202 East Washington Street 
#Suite 300 
Indianapolis, IN 46229 
United States 

View Map
View Map

","



Sun, October 24, 2021
1:00 PM – 5:00 PM EDT

Add to calendar


",AVAILABLE
Tours of the Benjamin Harrison Presidential Site 2021,"
	$0 – $12
","
Benjamin Harrison Presidential Site
1230 North Delaware Street 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Multiple Dates





Thu, Oct 14 (10:00 AM)


Thu, Oct 14 (12:00 PM)


Thu, Oct 14 (2:00 PM)


Fri, Oct 15 (10:00 AM)


Fri, Oct 15 (11:00 AM)


Fri, Oct 15 (12:00 PM)


Fri, Oct 15 (1:00 PM)


Fri, Oct 15 (2:00 PM)


Sat, Oct 16 (10:00 AM)


Sat, Oct 16 (11:00 AM)


Sat, Oct 16 (12:00 PM)


Sat, Oct 16 (1:00 PM) [Sold Out]


Sat, Oct 16 (2:00 PM)


Sat, Oct 16 (3:00 PM)


Sun, Oct 17 (12:00 PM)


Sun, Oct 17 (1:00 PM)


Sun, Oct 17 (2:00 PM)


Sun, Oct 17 (3:00 PM)


Mon, Oct 18 (10:00 AM)


Mon, Oct 18 (12:00 PM)


Mon, Oct 18 (2:00 PM)


Tue, Oct 19 (10:00 AM)


Tue, Oct 19 (12:00 PM)


Tue, Oct 19 (2:00 PM)


Wed, Oct 20 (10:00 AM)


Wed, Oct 20 (12:00 PM)


Wed, Oct 20 (2:00 PM)


Thu, Oct 21 (10:00 AM)


Thu, Oct 21 (12:00 PM)


Thu, Oct 21 (2:00 PM)


Fri, Oct 22 (10:00 AM)


Fri, Oct 22 (11:00 AM)


Fri, Oct 22 (12:00 PM)


Fri, Oct 22 (1:00 PM)


Fri, Oct 22 (2:00 PM)


Sat, Oct 23 (10:00 AM)


Sat, Oct 23 (11:00 AM)


Sat, Oct 23 (12:00 PM)


Sat, Oct 23 (1:00 PM)


Sat, Oct 23 (2:00 PM)


Sat, Oct 23 (3:00 PM)


Sun, Oct 24 (12:00 PM)


Sun, Oct 24 (1:00 PM)


Sun, Oct 24 (2:00 PM)


Sun, Oct 24 (3:00 PM)


Mon, Oct 25 (10:00 AM)


Mon, Oct 25 (12:00 PM)


Mon, Oct 25 (2:00 PM)


Tue, Oct 26 (10:00 AM)


Tue, Oct 26 (12:00 PM)



",AVAILABLE
Something to Talk About,"
	$12
","
White Rabbit Cabaret
1116 Prospect Street 
Indianapolis, IN 46203 
United States 

View Map
View Map

","



Sun, October 24, 2021
8:00 PM – 10:00 PM EDT

Add to calendar


",AVAILABLE
Halloween Kickback at Rads Brewing,"
	$0 – $10
","
Rad Brewing Co
414 Dorman Street 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sat, October 23, 2021
8:00 PM – 11:30 PM EDT

Add to calendar


",SOLD_OUT
"R&B, REGGAE and SOCA  JAM","
	$20
","
SOUKE ENTERTAINMENT
4435 North Keystone Avenue 
Indianapolis, IN 46205 
United States 

View Map
View Map

","



Sat, Oct 23, 2021, 9:00 PM –
Sun, Oct 24, 2021, 3:00 AM EDT

Add to calendar


",AVAILABLE
Pumpkins are even riper and Hotter Fun to make! Make one with GAI@CCIC,"
	$50
","
Glass Arts Indiana
1125 Brookside Ave C25 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sat, October 23, 2021
2:30 PM – 4:30 PM EDT

Add to calendar


",AVAILABLE
Trunk or Treat with Prather Lodge,"
	Free
","
Calvin Prather Masonic Lodge #717
7502 East 56th Street 
Indianapolis, IN 46226 
United States 

View Map
View Map

","



Sun, October 24, 2021
4:00 PM – 6:00 PM EDT

Add to calendar


",AVAILABLE
Dr. & Nurse Blunt's Annual Halloween Bash,"
	$40 – $55
","
9940 E Washington St
9940 East Washington Street 
Indianapolis, IN 46229 
United States 

View Map
View Map

","



Sat, October 23, 2021
7:00 PM – 10:00 PM EDT

Add to calendar


",AVAILABLE
Fall 2021 Stream Steward Workshop,"
	Free
","
Spirit Lake Condominiums
6740 Page Boulevard 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sat, October 23, 2021
9:30 AM – 12:00 PM EDT

Add to calendar


",AVAILABLE
NATURE PHOTOGRAPHY at EAGLE CREEK with RICH CLARK,"
	$49
","
Eagle Creek Park
7840 West 56th Street 
Indianapolis, IN 46254 
United States 

View Map
View Map

","



Sat, October 23, 2021
3:00 PM – 6:00 PM EDT

Add to calendar


",AVAILABLE
"James Whitcomb Riley Museum Home Tours, Oct. 8th - Feb. 5th","
	$1 – $10
","
528 Lockerbie St
528 Lockerbie Street 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Multiple Dates EDT





Thu, Oct 14 (10:00 AM)


Thu, Oct 14 (11:30 AM)


Thu, Oct 14 (1:00 PM)


Thu, Oct 14 (2:30 PM)


Fri, Oct 15 (11:30 AM)


Fri, Oct 15 (1:00 PM)


Fri, Oct 15 (2:30 PM)


Thu, Oct 21 (10:00 AM)


Thu, Oct 21 (11:30 AM)


Thu, Oct 21 (1:00 PM)


Thu, Oct 21 (2:30 PM)


Fri, Oct 22 (10:00 AM)


Fri, Oct 22 (11:30 AM)


Fri, Oct 22 (1:00 PM)


Fri, Oct 22 (2:30 PM)


Sat, Oct 23 (10:00 AM)


Sat, Oct 23 (11:30 AM)


Sat, Oct 23 (1:00 PM)


Sat, Oct 23 (2:30 PM)


Thu, Oct 28 (10:00 AM)


Thu, Oct 28 (11:30 AM)


Thu, Oct 28 (1:00 PM)


Thu, Oct 28 (2:30 PM)


Fri, Oct 29 (10:00 AM)


Fri, Oct 29 (11:30 AM)


Fri, Oct 29 (1:00 PM)


Fri, Oct 29 (2:30 PM)


Sat, Oct 30 (10:00 AM)


Sat, Oct 30 (11:30 AM)


Sat, Oct 30 (1:00 PM)


Sat, Oct 30 (2:30 PM)


Thu, Nov 4 (10:00 AM)


Thu, Nov 4 (11:30 AM)


Thu, Nov 4 (1:00 PM)


Thu, Nov 4 (2:30 PM)


Fri, Nov 5 (10:00 AM)


Fri, Nov 5 (11:30 AM)


Fri, Nov 5 (1:00 PM)


Fri, Nov 5 (2:30 PM)


Sat, Nov 6 (10:00 AM)


Sat, Nov 6 (11:30 AM)


Sat, Nov 6 (1:00 PM)


Sat, Nov 6 (2:30 PM)


Thu, Nov 11 (10:00 AM)


Thu, Nov 11 (11:30 AM)


Thu, Nov 11 (1:00 PM)


Thu, Nov 11 (2:30 PM)


Fri, Nov 12 (10:00 AM)


Fri, Nov 12 (11:30 AM)


Fri, Nov 12 (1:00 PM)



",AVAILABLE
Take Your Business to the Next Level,"
	Free
","
Nexus Impact Center
9511 Angola Court 
#UNIT 200 
Indianapolis, IN 46268 
United States 

View Map
View Map

","



Sat, Oct 23, 2021, 11:00 AM EDT


Add to calendar


",AVAILABLE
Oktoberfest @ SILO Auto Club,"
	$15 – $48
","
SILO Auto Club and Conservancy
644 E. Washington St. 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Sun, October 24, 2021
12:00 PM – 5:00 PM EDT

Add to calendar


",AVAILABLE
Nestle Inn Cooking Class: Make Sushi at Home,"
	$90
","
Nestle Inn
637 East Street 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sun, October 24, 2021
2:30 PM – 4:00 PM EDT

Add to calendar


",SOLD_OUT
Getting Started With Essential Oils - Indianapolis,"
	Free
","
JW Marriott Indianapolis
10 South West Street 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Multiple Dates





Sat, 16 Oct (10:00)


Mon, 18 Oct (19:00)


Sat, 23 Oct (10:00)


Mon, 25 Oct (19:00)


Sat, 30 Oct (10:00)



",AVAILABLE
Spooky Slays,"
	$125
","
5610 Crawfordsville Rd Door 10
5610 Crawfordsville Road 
Speedway, IN 46224 
United States 

View Map
View Map

","



Sun, October 24, 2021
12:00 PM – 3:00 PM EDT

Add to calendar


",AVAILABLE
SHEnanigans Podcast Live,"
	$10
","
PharmFree Life CBD Dispensary + Coffee & Tea Bar
5361 East 82nd Street 
Indianapolis, IN 46250 
United States 

View Map
View Map

","



Sat, October 23, 2021
7:30 PM – 9:00 PM EDT

Add to calendar


",AVAILABLE
Love's Labor's Lost,"
	$15 – $20
","
The Cat
254 Veterans Way 
Carmel, IN 46032 
United States 

View Map
View Map

","



Multiple Dates





Thu, Oct 21 (8:00 PM)


Sat, Oct 23 (8:00 PM)


Sun, Oct 24 (1:00 PM)


Fri, Oct 29 (8:00 PM)


Sat, Oct 30 (2:00 PM)


Sun, Oct 31 (5:00 PM)



",AVAILABLE
The Gurl Code 2021,"
	Free
","
502 N Tremont St
502 North Tremont Street 
Indianapolis, IN 46222 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 23 (9:00 AM)


Sat, Nov 6 (9:00 AM)


Sat, Nov 20 (9:00 AM)



",AVAILABLE
Entrepreneur Crash Course - Indianapolis,"
	Free
","
Online
Webinar 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Multiple Dates





Mon, Oct 18 (8:00 PM)


Wed, Oct 20 (8:00 PM)


Sat, Oct 23 (8:00 PM)


Mon, Oct 25 (8:00 PM)


Wed, Oct 27 (8:00 PM)


Sat, Oct 30 (8:00 PM)


Mon, Nov 1 (8:00 PM)


Wed, Nov 3 (8:00 PM)


Sat, Nov 6 (8:00 PM)


Mon, Nov 8 (8:00 PM)


Wed, Nov 10 (8:00 PM)


Sat, Nov 13 (8:00 PM)


Mon, Nov 15 (8:00 PM)


Wed, Nov 17 (8:00 PM)


Sat, Nov 20 (8:00 PM)


Mon, Nov 22 (8:00 PM)



",AVAILABLE
Card Class,"
	$15
","
Hand Stamped by Cheryl's Craft Room
7739 Prairie View Lane 
Indianapolis, IN 46256 
United States 

View Map
View Map

","



Sun, October 24, 2021
1:00 PM – 4:00 PM EDT

Add to calendar


",AVAILABLE
Pop Up Dinner Church,"
	Free
","
Faith Presbyterian Church
8170 Hague Road 
Indianapolis, IN 46256 
United States 

View Map
View Map

","



Sun, October 24, 2021
5:00 PM – 6:30 PM EDT

Add to calendar


",AVAILABLE
Barre & Biscuit,"
	$20
","
10 Johnson Ave
10 Johnson Avenue 
Indianapolis, IN 46219 
United States 

View Map
View Map

","



Sat, October 23, 2021
9:00 AM – 10:00 AM EDT

Add to calendar


",UNAVAILABLE
High Priority Social Event,"
	$30
","
9940 E Washington St
9940 East Washington Street 
Indianapolis, IN 46229 
United States 

View Map
View Map

","



Sat, October 23, 2021
11:00 AM – 1:00 PM EDT

Add to calendar


",AVAILABLE
Victor VIP Entrepreneur Support Event,"
	Free
","
5255 Winthrop Ave
5255 Winthrop Avenue 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sun, October 24, 2021
2:00 PM – 5:00 PM EDT

Add to calendar


",AVAILABLE
Sunday Funday Crawl Indianapolis,"
	$29.99
","
Indianapolis, Indiana
Indianapolis, IN 
United States 

View Map
View Map

","



Sun, October 24, 2021
12:00 PM – 6:00 PM EDT

Add to calendar


",AVAILABLE
ALL ABOUT DRONE PHOTOGRAPHY with EMMY WINNER RON SHELNUTT,"
	$39
","
Roberts Camera - In Person
220 E St Clair St 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Sat, October 23, 2021
1:00 PM – 3:00 PM EDT

Add to calendar


",AVAILABLE
Bone & Joint Awareness Day,"
	Free
","
Martin University Hardin Gathertorium
2186 N Sherman Dr 
Indianapolis, IN 46218 
United States 

View Map
View Map

","



Sat, October 23, 2021
10:30 AM – 3:00 PM EDT

Add to calendar


",AVAILABLE
"[Free Masterclass] Facebook Marketing Tips, Tricks & Tools in Indianapolis","
	Free
","
Indianapolis, Indiana
1420 N Capitol Ave 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Multiple Dates EST





Thu, Oct 14 (1:00 PM)


Fri, Oct 15 (1:00 PM)


Sat, Oct 16 (1:00 PM)


Sun, Oct 17 (1:00 PM)


Mon, Oct 18 (1:00 PM)


Tue, Oct 19 (1:00 PM)


Wed, Oct 20 (1:00 PM)


Thu, Oct 21 (1:00 PM)


Fri, Oct 22 (1:00 PM)


Sat, Oct 23 (1:00 PM)


Sun, Oct 24 (1:00 PM)


Mon, Oct 25 (1:00 PM)


Tue, Oct 26 (1:00 PM)


Wed, Oct 27 (1:00 PM)


Thu, Oct 28 (1:00 PM)


Fri, Oct 29 (1:00 PM)


Sat, Oct 30 (1:00 PM)


Sun, Oct 31 (1:00 PM)


Mon, Nov 1 (1:00 PM)


Tue, Nov 2 (1:00 PM)


Wed, Nov 3 (1:00 PM)


Thu, Nov 4 (1:00 PM)


Fri, Nov 5 (1:00 PM)


Sat, Nov 6 (1:00 PM)


Sun, Nov 7 (1:00 PM)


Mon, Nov 8 (1:00 PM)


Tue, Nov 9 (1:00 PM)


Wed, Nov 10 (1:00 PM)


Thu, Nov 11 (1:00 PM)


Fri, Nov 12 (1:00 PM)


Sat, Nov 13 (1:00 PM)


Sun, Nov 14 (1:00 PM)


Mon, Nov 15 (1:00 PM)


Tue, Nov 16 (1:00 PM)


Wed, Nov 17 (1:00 PM)


Thu, Nov 18 (1:00 PM)


Fri, Nov 19 (1:00 PM)


Sat, Nov 20 (1:00 PM)


Sun, Nov 21 (1:00 PM)


Mon, Nov 22 (1:00 PM)



",AVAILABLE
Gospel Sundays featuring Chalandon (1:30 pm - 2:30 pm),"
	$5
","
THE MAD GRIDDLE
2127 East 10th Street 
Indianapolis, IN 46201 
United States 

View Map
View Map

","



Sun, October 24, 2021
12:00 PM – 4:00 PM EDT

Add to calendar


",AVAILABLE
Stand Against Domestic Violence Open House,"
	$0 – $60
","
McAlister's Deli
5822 Crawfordsville Road 
Indianapolis, IN 46224 
United States 

View Map
View Map

","



Sat, October 23, 2021
12:00 PM – 7:00 PM EDT

Add to calendar


",AVAILABLE
"How to Make $100,000 as a Coach or Consultant - Indianapolis","
	Free
","
Online
Online Webinar 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Multiple Dates





Tue, Oct 19 (6:00 PM)


Thu, Oct 21 (6:00 PM)


Sat, Oct 23 (6:00 PM)


Tue, Oct 26 (6:00 PM)


Thu, Oct 28 (6:00 PM)


Sat, Oct 30 (6:00 PM)


Tue, Nov 2 (6:00 PM)


Thu, Nov 4 (6:00 PM)


Sat, Nov 6 (6:00 PM)


Tue, Nov 9 (6:00 PM)


Thu, Nov 11 (6:00 PM)


Sat, Nov 13 (6:00 PM)


Tue, Nov 16 (6:00 PM)


Thu, Nov 18 (6:00 PM)


Sat, Nov 20 (6:00 PM)



",AVAILABLE
High Tea — An Uplifting Brunch Tea Party,"
	$65 – $325
","
Prolific Event Suites
3402 West 30th Street 
Indianapolis, IN 46222 
United States 

View Map
View Map

","



Sat, October 23, 2021
1:00 PM – 3:00 PM EDT

Add to calendar


",AVAILABLE
One Team Scavenger Hunt Indianapolis,"
	$19.99 – $34.99
","
Recommended Parking to Begin Adventure
301 N Illinois St 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Multiple Dates





Thu, Oct 14 (10:00 AM)


Fri, Oct 15 (10:00 AM)


Sat, Oct 16 (10:00 AM)


Sun, Oct 17 (10:00 AM)


Mon, Oct 18 (10:00 AM)


Tue, Oct 19 (10:00 AM)


Wed, Oct 20 (10:00 AM)


Thu, Oct 21 (10:00 AM)


Fri, Oct 22 (10:00 AM)


Sat, Oct 23 (10:00 AM)


Sun, Oct 24 (10:00 AM)


Mon, Oct 25 (10:00 AM)


Tue, Oct 26 (10:00 AM)


Wed, Oct 27 (10:00 AM)


Thu, Oct 28 (10:00 AM)


Fri, Oct 29 (10:00 AM)


Sat, Oct 30 (10:00 AM)


Sun, Oct 31 (10:00 AM)


Mon, Nov 1 (10:00 AM)


Tue, Nov 2 (10:00 AM)


Wed, Nov 3 (10:00 AM)


Thu, Nov 4 (10:00 AM)


Fri, Nov 5 (10:00 AM)


Sat, Nov 6 (10:00 AM)


Sun, Nov 7 (10:00 AM)


Mon, Nov 8 (10:00 AM)


Tue, Nov 9 (10:00 AM)


Wed, Nov 10 (10:00 AM)


Thu, Nov 11 (10:00 AM)


Fri, Nov 12 (10:00 AM)


Sat, Nov 13 (10:00 AM)


Sun, Nov 14 (10:00 AM)


Mon, Nov 15 (10:00 AM)


Tue, Nov 16 (10:00 AM)


Wed, Nov 17 (10:00 AM)


Thu, Nov 18 (10:00 AM)


Fri, Nov 19 (10:00 AM)


Sat, Nov 20 (10:00 AM)


Sun, Nov 21 (10:00 AM)


Mon, Nov 22 (10:00 AM)



",AVAILABLE
Vendor War,"
	$10 – $75
","
120 E Market St
120 East Market Street 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Sun, October 24, 2021
10:00 AM – 7:00 PM EDT

Add to calendar


",AVAILABLE
Antony & Cleopatra,"
	$15 – $20
","
The Cat
254 Veterans Way 
Carmel, IN 46032 
United States 

View Map
View Map

","



Multiple Dates





Fri, Oct 22 (8:00 PM)


Sat, Oct 23 (2:00 PM)


Sun, Oct 24 (5:00 PM)


Thu, Oct 28 (8:00 PM)


Sat, Oct 30 (8:00 PM)


Sun, Oct 31 (1:00 PM)



",AVAILABLE
Punch for Veterans  Boxing Class,"
	$0 – $20
","
2326 E 44th St
2326 East 44th Street 
Indianapolis, IN 46205 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 16 (9:00 AM)


Sat, Oct 23 (9:00 AM)


Sat, Oct 30 (9:00 AM)


Sat, Nov 6 (9:00 AM)


Sat, Nov 13 (9:00 AM)


Sat, Nov 20 (9:00 AM)



",AVAILABLE
"Indianapolis Virtual Game Night: Trivia, Charades, and Drawing over Video","
	Free
","
40 E St Clair St
40 East Saint Clair Street 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Multiple Dates





Thu, Oct 14 (7:00 PM)


Fri, Oct 15 (7:00 PM)


Sat, Oct 16 (7:00 PM)


Sun, Oct 17 (7:00 PM)


Thu, Oct 21 (7:00 PM)


Fri, Oct 22 (7:00 PM)


Sat, Oct 23 (7:00 PM)


Sun, Oct 24 (7:00 PM)


Thu, Oct 28 (7:00 PM)


Fri, Oct 29 (7:00 PM)


Sat, Oct 30 (7:00 PM)


Sun, Oct 31 (7:00 PM)


Thu, Nov 4 (7:00 PM)


Fri, Nov 5 (7:00 PM)


Sat, Nov 6 (7:00 PM)


Sun, Nov 7 (7:00 PM)


Thu, Nov 11 (7:00 PM)


Fri, Nov 12 (7:00 PM)


Sat, Nov 13 (7:00 PM)


Sun, Nov 14 (7:00 PM)


Thu, Nov 18 (7:00 PM)


Fri, Nov 19 (7:00 PM)


Sat, Nov 20 (7:00 PM)


Sun, Nov 21 (7:00 PM)



",AVAILABLE
