Name,Entry Fee,Location,Date,Availability,new_location,IUPUI,The Speak Easy,zWORKS,Launch Fishers,Industrious Mass Ave,Launch Indy,new_entry_fee
Tours of the Benjamin Harrison Presidential Site 2021,"
	$0 – $12
","
Benjamin Harrison Presidential Site
1230 North Delaware Street 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Multiple Dates





Thu, Oct 14 (10:00 AM)


Thu, Oct 14 (12:00 PM)


Thu, Oct 14 (2:00 PM)


Fri, Oct 15 (10:00 AM)


Fri, Oct 15 (11:00 AM)


Fri, Oct 15 (12:00 PM)


Fri, Oct 15 (1:00 PM)


Fri, Oct 15 (2:00 PM)


Sat, Oct 16 (10:00 AM)


Sat, Oct 16 (11:00 AM)


Sat, Oct 16 (12:00 PM)


Sat, Oct 16 (1:00 PM) [Sold Out]


Sat, Oct 16 (2:00 PM)


Sat, Oct 16 (3:00 PM)


Sun, Oct 17 (12:00 PM)


Sun, Oct 17 (1:00 PM)


Sun, Oct 17 (2:00 PM)


Sun, Oct 17 (3:00 PM)


Mon, Oct 18 (10:00 AM)


Mon, Oct 18 (12:00 PM)


Mon, Oct 18 (2:00 PM)


Tue, Oct 19 (10:00 AM)


Tue, Oct 19 (12:00 PM)


Tue, Oct 19 (2:00 PM)


Wed, Oct 20 (10:00 AM)


Wed, Oct 20 (12:00 PM)


Wed, Oct 20 (2:00 PM)


Thu, Oct 21 (10:00 AM)


Thu, Oct 21 (12:00 PM)


Thu, Oct 21 (2:00 PM)


Fri, Oct 22 (10:00 AM)


Fri, Oct 22 (11:00 AM)


Fri, Oct 22 (12:00 PM)


Fri, Oct 22 (1:00 PM)


Fri, Oct 22 (2:00 PM)


Sat, Oct 23 (10:00 AM)


Sat, Oct 23 (11:00 AM)


Sat, Oct 23 (12:00 PM)


Sat, Oct 23 (1:00 PM)


Sat, Oct 23 (2:00 PM)


Sat, Oct 23 (3:00 PM)


Sun, Oct 24 (12:00 PM)


Sun, Oct 24 (1:00 PM)


Sun, Oct 24 (2:00 PM)


Sun, Oct 24 (3:00 PM)


Mon, Oct 25 (10:00 AM)


Mon, Oct 25 (12:00 PM)


Mon, Oct 25 (2:00 PM)


Tue, Oct 26 (10:00 AM)


Tue, Oct 26 (12:00 PM)



",AVAILABLE,"1230 North Delaware Street Indianapolis, IN 46202 ",9.0,15.0,26.0,27.0,6.0,9.0,6.0
Something to Talk About,"
	$12
","
White Rabbit Cabaret
1116 Prospect Street 
Indianapolis, IN 46203 
United States 

View Map
View Map

","



Sun, October 24, 2021
8:00 PM – 10:00 PM EDT

Add to calendar


",AVAILABLE,"1116 Prospect Street Indianapolis, IN 46203 ",14.0,23.0,35.0,34.0,6.0,6.0,12.0
"R&B, REGGAE and SOCA  JAM","
	$20
","
SOUKE ENTERTAINMENT
4435 North Keystone Avenue 
Indianapolis, IN 46205 
United States 

View Map
View Map

","



Sat, Oct 23, 2021, 9:00 PM –
Sun, Oct 24, 2021, 3:00 AM EDT

Add to calendar


",AVAILABLE,"4435 North Keystone Avenue Indianapolis, IN 46205 ",18.0,6.0,29.0,20.0,16.0,19.0,20.0
Pumpkins are even riper and Hotter Fun to make! Make one with GAI@CCIC,"
	$50
","
Glass Arts Indiana
1125 Brookside Ave C25 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Sat, October 23, 2021
2:30 PM – 4:30 PM EDT

Add to calendar


",AVAILABLE,"1125 Brookside Ave C25 Indianapolis, IN 46202 ",14.0,16.0,31.0,30.0,10.0,12.0,50.0
Trunk or Treat with Prather Lodge,"
	Free
","
Calvin Prather Masonic Lodge #717
7502 East 56th Street 
Indianapolis, IN 46226 
United States 

View Map
View Map

","



Sun, October 24, 2021
4:00 PM – 6:00 PM EDT

Add to calendar


",AVAILABLE,"7502 East 56th Street Indianapolis, IN 46226 ",22.0,16.0,26.0,17.0,21.0,23.0,0.0
Dr. & Nurse Blunt's Annual Halloween Bash,"
	$40 – $55
","
9940 E Washington St
9940 East Washington Street 
Indianapolis, IN 46229 
United States 

View Map
View Map

","



Sat, October 23, 2021
7:00 PM – 10:00 PM EDT

Add to calendar


",AVAILABLE,"9940 East Washington Street Indianapolis, IN 46229 ",24.0,26.0,36.0,27.0,23.0,24.0,47.5
Fall 2021 Stream Steward Workshop,"
	Free
","
Spirit Lake Condominiums
6740 Page Boulevard 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sat, October 23, 2021
9:30 AM – 12:00 PM EDT

Add to calendar


",AVAILABLE,"6740 Page Boulevard Indianapolis, IN 46220 ",27.0,10.0,25.0,24.0,27.0,29.0,0.0
NATURE PHOTOGRAPHY at EAGLE CREEK with RICH CLARK,"
	$49
","
Eagle Creek Park
7840 West 56th Street 
Indianapolis, IN 46254 
United States 

View Map
View Map

","



Sat, October 23, 2021
3:00 PM – 6:00 PM EDT

Add to calendar


",AVAILABLE,"7840 West 56th Street Indianapolis, IN 46254 ",20.0,22.0,21.0,36.0,22.0,21.0,49.0
"James Whitcomb Riley Museum Home Tours, Oct. 8th - Feb. 5th","
	$1 – $10
","
528 Lockerbie St
528 Lockerbie Street 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Multiple Dates EDT





Thu, Oct 14 (10:00 AM)


Thu, Oct 14 (11:30 AM)


Thu, Oct 14 (1:00 PM)


Thu, Oct 14 (2:30 PM)


Fri, Oct 15 (11:30 AM)


Fri, Oct 15 (1:00 PM)


Fri, Oct 15 (2:30 PM)


Thu, Oct 21 (10:00 AM)


Thu, Oct 21 (11:30 AM)


Thu, Oct 21 (1:00 PM)


Thu, Oct 21 (2:30 PM)


Fri, Oct 22 (10:00 AM)


Fri, Oct 22 (11:30 AM)


Fri, Oct 22 (1:00 PM)


Fri, Oct 22 (2:30 PM)


Sat, Oct 23 (10:00 AM)


Sat, Oct 23 (11:30 AM)


Sat, Oct 23 (1:00 PM)


Sat, Oct 23 (2:30 PM)


Thu, Oct 28 (10:00 AM)


Thu, Oct 28 (11:30 AM)


Thu, Oct 28 (1:00 PM)


Thu, Oct 28 (2:30 PM)


Fri, Oct 29 (10:00 AM)


Fri, Oct 29 (11:30 AM)


Fri, Oct 29 (1:00 PM)


Fri, Oct 29 (2:30 PM)


Sat, Oct 30 (10:00 AM)


Sat, Oct 30 (11:30 AM)


Sat, Oct 30 (1:00 PM)


Sat, Oct 30 (2:30 PM)


Thu, Nov 4 (10:00 AM)


Thu, Nov 4 (11:30 AM)


Thu, Nov 4 (1:00 PM)


Thu, Nov 4 (2:30 PM)


Fri, Nov 5 (10:00 AM)


Fri, Nov 5 (11:30 AM)


Fri, Nov 5 (1:00 PM)


Fri, Nov 5 (2:30 PM)


Sat, Nov 6 (10:00 AM)


Sat, Nov 6 (11:30 AM)


Sat, Nov 6 (1:00 PM)


Sat, Nov 6 (2:30 PM)


Thu, Nov 11 (10:00 AM)


Thu, Nov 11 (11:30 AM)


Thu, Nov 11 (1:00 PM)


Thu, Nov 11 (2:30 PM)


Fri, Nov 12 (10:00 AM)


Fri, Nov 12 (11:30 AM)


Fri, Nov 12 (1:00 PM)



",AVAILABLE,"528 Lockerbie Street Indianapolis, IN 46202 ",10.0,17.0,31.0,29.0,5.0,8.0,5.5
Take Your Business to the Next Level,"
	Free
","
Nexus Impact Center
9511 Angola Court 
#UNIT 200 
Indianapolis, IN 46268 
United States 

View Map
View Map

","



Sat, Oct 23, 2021, 11:00 AM EDT


Add to calendar


",AVAILABLE,9511 Angola Court #UNIT 200 ,25.0,22.0,10.0,23.0,27.0,27.0,0.0
Oktoberfest @ SILO Auto Club,"
	$15 – $48
","
SILO Auto Club and Conservancy
644 E. Washington St. 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Sun, October 24, 2021
12:00 PM – 5:00 PM EDT

Add to calendar


",AVAILABLE,"644 E. Washington St. Indianapolis, IN 46204 ",11.0,18.0,32.0,29.0,3.0,6.0,31.5
Getting Started With Essential Oils - Indianapolis,"
	Free
","
JW Marriott Indianapolis
10 South West Street 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Multiple Dates





Sat, 16 Oct (10:00)


Mon, 18 Oct (19:00)


Sat, 23 Oct (10:00)


Mon, 25 Oct (19:00)


Sat, 30 Oct (10:00)



",AVAILABLE,"10 South West Street Indianapolis, IN 46204 ",6.0,19.0,29.0,32.0,6.0,6.0,0.0
Spooky Slays,"
	$125
","
5610 Crawfordsville Rd Door 10
5610 Crawfordsville Road 
Speedway, IN 46224 
United States 

View Map
View Map

","



Sun, October 24, 2021
12:00 PM – 3:00 PM EDT

Add to calendar


",AVAILABLE,"5610 Crawfordsville Road Speedway, IN 46224 ",14.0,23.0,23.0,37.0,18.0,17.0,125.0
SHEnanigans Podcast Live,"
	$10
","
PharmFree Life CBD Dispensary + Coffee & Tea Bar
5361 East 82nd Street 
Indianapolis, IN 46250 
United States 

View Map
View Map

","



Sat, October 23, 2021
7:30 PM – 9:00 PM EDT

Add to calendar


",AVAILABLE,"5361 East 82nd Street Indianapolis, IN 46250 ",27.0,14.0,21.0,15.0,28.0,30.0,10.0
Love's Labor's Lost,"
	$15 – $20
","
The Cat
254 Veterans Way 
Carmel, IN 46032 
United States 

View Map
View Map

","



Multiple Dates





Thu, Oct 21 (8:00 PM)


Sat, Oct 23 (8:00 PM)


Sun, Oct 24 (1:00 PM)


Fri, Oct 29 (8:00 PM)


Sat, Oct 30 (2:00 PM)


Sun, Oct 31 (5:00 PM)



",AVAILABLE,"254 Veterans Way Carmel, IN 46032 ",35.0,23.0,20.0,22.0,34.0,36.0,17.5
The Gurl Code 2021,"
	Free
","
502 N Tremont St
502 North Tremont Street 
Indianapolis, IN 46222 
United States 

View Map
View Map

","



Multiple Dates





Sat, Oct 23 (9:00 AM)


Sat, Nov 6 (9:00 AM)


Sat, Nov 20 (9:00 AM)



",AVAILABLE,"502 North Tremont Street Indianapolis, IN 46222 ",4.0,21.0,29.0,34.0,12.0,10.0,0.0
Entrepreneur Crash Course - Indianapolis,"
	Free
","
Online
Webinar 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Multiple Dates





Mon, Oct 18 (8:00 PM)


Wed, Oct 20 (8:00 PM)


Sat, Oct 23 (8:00 PM)


Mon, Oct 25 (8:00 PM)


Wed, Oct 27 (8:00 PM)


Sat, Oct 30 (8:00 PM)


Mon, Nov 1 (8:00 PM)


Wed, Nov 3 (8:00 PM)


Sat, Nov 6 (8:00 PM)


Mon, Nov 8 (8:00 PM)


Wed, Nov 10 (8:00 PM)


Sat, Nov 13 (8:00 PM)


Mon, Nov 15 (8:00 PM)


Wed, Nov 17 (8:00 PM)


Sat, Nov 20 (8:00 PM)


Mon, Nov 22 (8:00 PM)



",AVAILABLE,Virtual,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Card Class,"
	$15
","
Hand Stamped by Cheryl's Craft Room
7739 Prairie View Lane 
Indianapolis, IN 46256 
United States 

View Map
View Map

","



Sun, October 24, 2021
1:00 PM – 4:00 PM EDT

Add to calendar


",AVAILABLE,"7739 Prairie View Lane Indianapolis, IN 46256 ",31.0,22.0,29.0,17.0,30.0,32.0,15.0
Pop Up Dinner Church,"
	Free
","
Faith Presbyterian Church
8170 Hague Road 
Indianapolis, IN 46256 
United States 

View Map
View Map

","



Sun, October 24, 2021
5:00 PM – 6:30 PM EDT

Add to calendar


",AVAILABLE,"8170 Hague Road Indianapolis, IN 46256 ",27.0,18.0,25.0,14.0,26.0,28.0,0.0
High Priority Social Event,"
	$30
","
9940 E Washington St
9940 East Washington Street 
Indianapolis, IN 46229 
United States 

View Map
View Map

","



Sat, October 23, 2021
11:00 AM – 1:00 PM EDT

Add to calendar


",AVAILABLE,"9940 East Washington Street Indianapolis, IN 46229 ",24.0,26.0,36.0,27.0,23.0,24.0,30.0
Victor VIP Entrepreneur Support Event,"
	Free
","
5255 Winthrop Ave
5255 Winthrop Avenue 
Indianapolis, IN 46220 
United States 

View Map
View Map

","



Sun, October 24, 2021
2:00 PM – 5:00 PM EDT

Add to calendar


",AVAILABLE,"5255 Winthrop Avenue Indianapolis, IN 46220 ",20.0,1.0,29.0,23.0,19.0,21.0,0.0
Sunday Funday Crawl Indianapolis,"
	$29.99
","
Indianapolis, Indiana
Indianapolis, IN 
United States 

View Map
View Map

","



Sun, October 24, 2021
12:00 PM – 6:00 PM EDT

Add to calendar


",AVAILABLE,"Indianapolis, IN United States ",9.0,20.0,30.0,32.0,4.0,4.0,29.99
ALL ABOUT DRONE PHOTOGRAPHY with EMMY WINNER RON SHELNUTT,"
	$39
","
Roberts Camera - In Person
220 E St Clair St 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Sat, October 23, 2021
1:00 PM – 3:00 PM EDT

Add to calendar


",AVAILABLE,"220 E St Clair St Indianapolis, IN 46204 ",10.0,15.0,27.0,29.0,6.0,8.0,39.0
Bone & Joint Awareness Day,"
	Free
","
Martin University Hardin Gathertorium
2186 N Sherman Dr 
Indianapolis, IN 46218 
United States 

View Map
View Map

","



Sat, October 23, 2021
10:30 AM – 3:00 PM EDT

Add to calendar


",AVAILABLE,"2186 N Sherman Dr Indianapolis, IN 46218 ",14.0,14.0,31.0,26.0,13.0,15.0,0.0
"[Free Masterclass] Facebook Marketing Tips, Tricks & Tools in Indianapolis","
	Free
","
Indianapolis, Indiana
1420 N Capitol Ave 
Indianapolis, IN 46202 
United States 

View Map
View Map

","



Multiple Dates EST





Thu, Oct 14 (1:00 PM)


Fri, Oct 15 (1:00 PM)


Sat, Oct 16 (1:00 PM)


Sun, Oct 17 (1:00 PM)


Mon, Oct 18 (1:00 PM)


Tue, Oct 19 (1:00 PM)


Wed, Oct 20 (1:00 PM)


Thu, Oct 21 (1:00 PM)


Fri, Oct 22 (1:00 PM)


Sat, Oct 23 (1:00 PM)


Sun, Oct 24 (1:00 PM)


Mon, Oct 25 (1:00 PM)


Tue, Oct 26 (1:00 PM)


Wed, Oct 27 (1:00 PM)


Thu, Oct 28 (1:00 PM)


Fri, Oct 29 (1:00 PM)


Sat, Oct 30 (1:00 PM)


Sun, Oct 31 (1:00 PM)


Mon, Nov 1 (1:00 PM)


Tue, Nov 2 (1:00 PM)


Wed, Nov 3 (1:00 PM)


Thu, Nov 4 (1:00 PM)


Fri, Nov 5 (1:00 PM)


Sat, Nov 6 (1:00 PM)


Sun, Nov 7 (1:00 PM)


Mon, Nov 8 (1:00 PM)


Tue, Nov 9 (1:00 PM)


Wed, Nov 10 (1:00 PM)


Thu, Nov 11 (1:00 PM)


Fri, Nov 12 (1:00 PM)


Sat, Nov 13 (1:00 PM)


Sun, Nov 14 (1:00 PM)


Mon, Nov 15 (1:00 PM)


Tue, Nov 16 (1:00 PM)


Wed, Nov 17 (1:00 PM)


Thu, Nov 18 (1:00 PM)


Fri, Nov 19 (1:00 PM)


Sat, Nov 20 (1:00 PM)


Sun, Nov 21 (1:00 PM)


Mon, Nov 22 (1:00 PM)



",AVAILABLE,"1420 N Capitol Ave Indianapolis, IN 46202 ",10.0,15.0,26.0,30.0,9.0,9.0,0.0
Gospel Sundays featuring Chalandon (1:30 pm - 2:30 pm),"
	$5
","
THE MAD GRIDDLE
2127 East 10th Street 
Indianapolis, IN 46201 
United States 

View Map
View Map

","



Sun, October 24, 2021
12:00 PM – 4:00 PM EDT

Add to calendar


",AVAILABLE,"2127 East 10th Street Indianapolis, IN 46201 ",15.0,17.0,31.0,29.0,11.0,12.0,5.0
Stand Against Domestic Violence Open House,"
	$0 – $60
","
McAlister's Deli
5822 Crawfordsville Road 
Indianapolis, IN 46224 
United States 

View Map
View Map

","



Sat, October 23, 2021
12:00 PM – 7:00 PM EDT

Add to calendar


",AVAILABLE,"5822 Crawfordsville Road Indianapolis, IN 46224 ",14.0,26.0,23.0,37.0,19.0,17.0,30.0
"How to Make $100,000 as a Coach or Consultant - Indianapolis","
	Free
","
Online
Online Webinar 
Indianapolis, IN 46204 
United States 

View Map
View Map

","



Multiple Dates





Tue, Oct 19 (6:00 PM)


Thu, Oct 21 (6:00 PM)


Sat, Oct 23 (6:00 PM)


Tue, Oct 26 (6:00 PM)


Thu, Oct 28 (6:00 PM)


Sat, Oct 30 (6:00 PM)


Tue, Nov 2 (6:00 PM)


Thu, Nov 4 (6:00 PM)


Sat, Nov 6 (6:00 PM)


Tue, Nov 9 (6:00 PM)


Thu, Nov 11 (6:00 PM)


Sat, Nov 13 (6:00 PM)


Tue, Nov 16 (6:00 PM)


Thu, Nov 18 (6:00 PM)


Sat, Nov 20 (6:00 PM)



",AVAILABLE,Virtual,0.0,0.0,0.0,0.0,0.0,0.0,0.0
High Tea — An Uplifting Brunch Tea Party,"
	$65 – $325
","
Prolific Event Suites
3402 West 30th Street 
Indianapolis, IN 46222 
United States 

View Map
View Map

","



Sat, October 23, 2021
1:00 PM – 3:00 PM EDT

Add to calendar


",AVAILABLE,"3402 West 30th Street Indianapolis, IN 46222 ",10.0,16.0,21.0,33.0,16.0,15.0,195.0
